"Date","Price","Open","High","Low","Vol.","Change %"
"12/05/2023","231.10","233.20","234.80","228.40","12.72K","-0.99%"
"12/04/2023","233.40","227.90","236.70","226.00","19.60K","2.37%"
"12/03/2023","228.00","229.10","231.70","226.30","7.78K","-0.39%"
"12/02/2023","228.90","228.40","230.00","226.40","7.31K","0.26%"
"12/01/2023","228.30","227.50","229.90","227.00","5.64K","0.31%"
"11/30/2023","227.60","227.10","229.00","226.10","5.51K","0.13%"
"11/29/2023","227.30","229.70","231.10","226.20","7.26K","-1.00%"
"11/28/2023","229.60","227.20","231.60","224.20","5.26K","1.10%"
"11/27/2023","227.10","231.80","232.80","222.80","10.15K","-1.90%"
"11/26/2023","231.50","234.10","234.20","228.80","5.28K","-1.20%"
"11/25/2023","234.30","232.70","235.70","232.30","4.49K","0.64%"
"11/24/2023","232.80","233.70","236.60","231.70","6.22K","-0.34%"
"11/23/2023","233.60","236.30","239.10","230.50","10.88K","-1.06%"
"11/22/2023","236.10","226.00","238.20","226.00","18.38K","4.61%"
"11/21/2023","225.70","253.00","269.40","223.80","61.43K","-10.83%"
"11/20/2023","253.10","246.54","265.39","241.64","49.96K","2.69%"
"11/19/2023","246.47","244.76","246.78","241.91","14.13K","0.69%"
"11/18/2023","244.78","244.39","245.09","238.61","11.59K","0.18%"
"11/17/2023","244.33","242.46","245.79","238.55","18.85K","0.71%"
"11/16/2023","242.61","253.74","255.55","240.36","21.80K","-4.33%"
"11/15/2023","253.59","242.12","254.30","242.12","25.06K","4.77%"
"11/14/2023","242.05","241.04","248.66","235.74","30.66K","0.55%"
"11/13/2023","240.73","247.64","249.97","240.43","22.50K","-2.72%"
"11/12/2023","247.45","251.57","251.82","245.40","19.38K","-1.58%"
"11/11/2023","251.41","251.05","254.88","246.06","23.18K","0.16%"
"11/10/2023","251.01","251.68","257.94","248.43","21.99K","-0.24%"
"11/09/2023","251.61","246.67","255.62","241.59","40.91K","1.80%"
"11/08/2023","247.16","246.26","247.76","244.20","12.77K","0.35%"
"11/07/2023","246.29","254.93","255.34","242.44","22.42K","-3.26%"
"11/06/2023","254.60","243.80","255.50","241.59","25.47K","4.35%"
"11/05/2023","243.98","237.19","245.44","236.26","18.69K","2.87%"
"11/04/2023","237.18","230.35","238.52","229.40","8.95K","2.98%"
"11/03/2023","230.31","231.92","232.43","225.87","11.99K","-0.66%"
"11/02/2023","231.84","228.12","233.26","227.63","25.82K","1.68%"
"11/01/2023","228.00","226.11","228.97","222.64","13.85K","0.72%"
"10/31/2023","226.36","227.95","229.09","223.93","12.11K","-0.71%"
"10/30/2023","227.97","227.41","229.14","224.74","14.99K","0.44%"
"10/29/2023","226.98","225.53","228.08","223.82","8.29K","0.57%"
"10/28/2023","225.70","224.09","227.92","224.09","12.06K","0.61%"
"10/27/2023","224.34","223.09","230.02","219.96","31.27K","0.57%"
"10/26/2023","223.07","221.93","227.97","219.16","26.65K","0.45%"
"10/25/2023","222.08","225.17","229.11","221.77","12.71K","-1.36%"
"10/24/2023","225.15","228.99","237.21","222.50","35.68K","-1.40%"
"10/23/2023","228.35","217.70","230.40","217.05","24.09K","4.91%"
"10/22/2023","217.67","214.12","218.11","213.56","8.04K","1.69%"
"10/21/2023","214.06","212.03","215.65","211.41","5.19K","0.96%"
"10/20/2023","212.02","211.19","216.05","210.52","10.35K","0.45%"
"10/19/2023","211.07","210.15","211.38","208.22","7.04K","0.39%"
"10/18/2023","210.25","211.46","213.59","209.96","7.46K","-0.55%"
"10/17/2023","211.42","214.69","214.91","209.47","12.41K","-1.48%"
"10/16/2023","214.60","209.64","218.36","209.64","17.92K","2.31%"
"10/15/2023","209.75","206.50","210.15","206.27","7.91K","1.58%"
"10/14/2023","206.49","205.98","206.97","205.70","3.00K","0.25%"
"10/13/2023","205.98","205.13","208.02","204.42","7.97K","0.39%"
"10/12/2023","205.19","206.43","206.69","203.31","16.91K","-0.58%"
"10/11/2023","206.38","208.56","208.80","204.57","16.26K","-1.03%"
"10/10/2023","208.52","205.64","210.24","205.58","16.04K","1.36%"
"10/09/2023","205.73","211.32","212.14","202.62","14.30K","-2.69%"
"10/08/2023","211.42","212.25","212.72","209.38","6.21K","-0.38%"
"10/07/2023","212.22","213.33","213.82","211.53","3.52K","-0.51%"
"10/06/2023","213.31","210.66","214.39","210.17","3.64K","1.30%"
"10/05/2023","210.58","213.18","213.83","210.26","4.35K","-1.30%"
"10/04/2023","213.35","213.42","213.74","210.73","5.91K","-0.02%"
"10/03/2023","213.39","214.57","215.80","212.69","8.56K","-0.54%"
"10/02/2023","214.54","218.15","221.56","213.24","14.10K","-1.63%"
"10/01/2023","218.09","214.56","219.21","213.16","5.87K","1.65%"
"09/30/2023","214.56","215.07","216.30","214.25","2.83K","-0.24%"
"09/29/2023","215.07","214.92","217.21","214.31","5.95K","0.08%"
"09/28/2023","214.90","212.01","216.81","211.57","7.36K","1.36%"
"09/27/2023","212.01","212.55","215.84","210.59","7.42K","-0.24%"
"09/26/2023","212.51","209.93","213.58","209.71","7.65K","1.20%"
"09/25/2023","209.98","208.11","210.49","206.95","7.05K","0.89%"
"09/24/2023","208.13","210.40","211.21","207.53","4.73K","-1.08%"
"09/23/2023","210.40","211.17","211.57","209.91","2.87K","-0.28%"
"09/22/2023","211.00","210.76","212.04","209.83","5.00K","0.10%"
"09/21/2023","210.78","214.37","215.16","209.56","10.55K","-1.70%"
"09/20/2023","214.43","217.08","217.77","213.48","11.48K","-1.25%"
"09/19/2023","217.15","215.91","219.80","215.36","7.66K","0.58%"
"09/18/2023","215.90","216.42","221.26","215.09","10.18K","-0.20%"
"09/17/2023","216.33","214.87","216.70","213.41","3.95K","0.70%"
"09/16/2023","214.82","214.23","215.70","213.34","4.61K","0.39%"
"09/15/2023","213.98","212.04","214.86","210.96","4.60K","0.90%"
"09/14/2023","212.07","212.59","214.95","211.13","8.53K","-0.27%"
"09/13/2023","212.64","210.62","213.20","209.34","7.98K","0.98%"
"09/12/2023","210.57","206.07","213.88","205.13","10.95K","2.15%"
"09/11/2023","206.13","212.31","212.58","203.91","10.41K","-2.90%"
"09/10/2023","212.29","214.17","214.22","211.43","5.56K","-0.90%"
"09/09/2023","214.22","214.65","215.33","214.13","2.58K","-0.19%"
"09/08/2023","214.63","217.07","218.44","213.43","6.94K","-1.13%"
"09/07/2023","217.08","215.13","217.84","213.62","5.74K","0.92%"
"09/06/2023","215.10","214.46","217.26","212.14","7.41K","0.25%"
"09/05/2023","214.57","215.04","215.85","213.66","6.53K","-0.32%"
"09/04/2023","215.26","214.34","216.43","213.15","8.51K","0.44%"
"09/03/2023","214.32","214.27","215.10","213.25","4.11K","-0.03%"
"09/02/2023","214.38","213.55","215.51","213.09","5.09K","0.37%"
"09/01/2023","213.59","216.53","217.98","211.52","13.29K","-1.38%"
"08/31/2023","216.58","223.68","225.65","215.34","12.57K","-3.17%"
