"Date","Price","Open","High","Low","Vol.","Change %"
"04/07/2022","0.146000","0.143700","0.148300","0.140300","1.90B","1.81%"
"04/06/2022","0.143400","0.172100","0.174200","0.142500","5.12B","-16.97%"
"04/05/2022","0.172700","0.148500","0.179100","0.147400","6.45B","16.30%"
"04/04/2022","0.148500","0.146500","0.156300","0.141400","2.70B","1.50%"
"04/03/2022","0.146300","0.138700","0.149400","0.136300","1.23B","5.48%"
"04/02/2022","0.138700","0.141100","0.144300","0.138400","804.73M","-1.91%"
"04/01/2022","0.141400","0.138300","0.142600","0.132100","1.03B","2.39%"
"03/31/2022","0.138100","0.143200","0.147800","0.136300","1.46B","-3.49%"
"03/30/2022","0.143100","0.144300","0.145400","0.138400","1.13B","-0.97%"
"03/29/2022","0.144500","0.142300","0.148800","0.140700","1.17B","1.69%"
"03/28/2022","0.142100","0.144800","0.153500","0.141400","1.91B","-1.86%"
"03/27/2022","0.144800","0.136100","0.145400","0.135500","1.86B","6.39%"
"03/26/2022","0.136100","0.130900","0.136800","0.129000","780.32M","4.05%"
"03/25/2022","0.130800","0.136800","0.137500","0.128100","1.19B","-4.39%"
"03/24/2022","0.136800","0.129800","0.140900","0.127800","2.17B","5.39%"
"03/23/2022","0.129800","0.122400","0.131200","0.121000","1.14B","6.05%"
"03/22/2022","0.122400","0.119200","0.125700","0.118700","642.66M","2.68%"
"03/21/2022","0.119200","0.119300","0.121600","0.117800","403.69M","0.08%"
"03/20/2022","0.119100","0.123500","0.124100","0.117400","425.71M","-3.56%"
"03/19/2022","0.123500","0.119300","0.125000","0.118300","678.69M","3.69%"
"03/18/2022","0.119100","0.116300","0.119500","0.114300","50.22M","2.41%"
"03/17/2022","0.116300","0.117000","0.119200","0.116100","52.14M","-0.60%"
"03/16/2022","0.117000","0.112600","0.117100","0.112100","62.63M","4.00%"
"03/15/2022","0.112500","0.113900","0.114200","0.110200","46.88M","-1.23%"
"03/14/2022","0.113900","0.111200","0.120400","0.110300","109.33M","2.15%"
"03/13/2022","0.111500","0.114600","0.116300","0.110000","45.67M","-2.79%"
"03/12/2022","0.114700","0.115400","0.117300","0.114700","24.94M","-0.61%"
"03/11/2022","0.115400","0.116700","0.118400","0.113900","47.33M","-1.28%"
"03/10/2022","0.116900","0.121500","0.121800","0.115000","65.40M","-3.79%"
"03/09/2022","0.121500","0.117000","0.124300","0.116500","65.49M","3.76%"
"03/08/2022","0.117100","0.116900","0.120000","0.115400","64.29M","0.34%"
"03/07/2022","0.116700","0.120600","0.122600","0.114100","60.80M","-3.23%"
"03/06/2022","0.120600","0.124900","0.125600","0.119800","47.40M","-3.44%"
"03/05/2022","0.124900","0.122600","0.125500","0.121100","39.96M","1.88%"
"03/04/2022","0.122600","0.129600","0.130200","0.120200","83.00M","-5.47%"
"03/03/2022","0.129700","0.133000","0.133800","0.127200","523.50M","-2.48%"
"03/02/2022","0.133000","0.134000","0.136800","0.130800","672.72M","-0.67%"
"03/01/2022","0.133900","0.133500","0.138800","0.130000","925.34M","0.30%"
"02/28/2022","0.133500","0.122900","0.134800","0.121400","735.04M","8.62%"
"02/27/2022","0.122900","0.127700","0.128300","0.121300","635.09M","-3.68%"
"02/26/2022","0.127600","0.127600","0.130300","0.125700","531.38M","0.00%"
"02/25/2022","0.127600","0.124300","0.128300","0.120500","799.83M","2.90%"
"02/24/2022","0.124000","0.127100","0.127700","0.107400","2.46B","-2.52%"
"02/23/2022","0.127200","0.131300","0.135400","0.127200","608.79M","-3.12%"
"02/22/2022","0.131300","0.128200","0.131800","0.124300","711.33M","2.50%"
"02/21/2022","0.128100","0.136700","0.141600","0.127200","1.00B","-6.22%"
"02/20/2022","0.136600","0.140900","0.141100","0.135400","508.93M","-3.05%"
"02/19/2022","0.140900","0.138500","0.146500","0.138500","677.15M","1.66%"
"02/18/2022","0.138600","0.138200","0.142200","0.136100","620.78M","0.14%"
"02/17/2022","0.138400","0.148700","0.150000","0.137000","740.15M","-6.93%"
"02/16/2022","0.148700","0.151600","0.151600","0.146200","432.32M","-1.91%"
"02/15/2022","0.151600","0.145700","0.152400","0.144800","600.16M","3.91%"
"02/14/2022","0.145900","0.148100","0.150300","0.142800","904.41M","-1.49%"
"02/13/2022","0.148100","0.144100","0.157800","0.143700","1.59B","2.63%"
"02/12/2022","0.144300","0.144600","0.147200","0.140700","572.77M","-0.35%"
"02/11/2022","0.144800","0.151400","0.154200","0.142600","706.08M","-4.36%"
"02/10/2022","0.151400","0.159400","0.160600","0.150400","921.92M","-4.96%"
"02/09/2022","0.159300","0.158100","0.162000","0.154400","692.18M","0.82%"
"02/08/2022","0.158000","0.165300","0.169600","0.153000","1.27B","-4.30%"
"02/07/2022","0.165100","0.154200","0.172700","0.151400","1.81B","7.21%"
