"Date","Price","Open","High","Low","Vol.","Change %"
"05/07/2024","1.0000","1.0000","1.0001","0.9998","160.35M","0.00%"
"05/06/2024","1.0000","1.0001","1.0002","0.9998","246.25M","-0.01%"
"05/05/2024","1.0001","1.0001","1.0002","1.0000","87.18M","0.01%"
"05/04/2024","1.0001","1.0004","1.0004","1.0000","157.08M","-0.03%"
"05/03/2024","1.0004","1.0000","1.0006","0.9998","198.87M","0.04%"
"05/02/2024","1.0000","0.9985","1.0002","0.9985","242.00M","0.15%"
"05/01/2024","0.9985","0.9991","0.9992","0.9984","215.32M","-0.05%"
"04/30/2024","0.9991","0.9997","0.9999","0.9984","409.56M","-0.06%"
"04/29/2024","0.9997","0.9997","1.0001","0.9994","205.28M","0.00%"
"04/28/2024","0.9997","0.9993","0.9997","0.9991","82.49M","0.03%"
"04/27/2024","0.9993","0.9996","0.9998","0.9992","128.48M","-0.03%"
"04/26/2024","0.9996","0.9998","1.0001","0.9995","188.11M","-0.02%"
"04/25/2024","0.9998","0.9995","1.0000","0.9993","193.50M","0.04%"
"04/24/2024","0.9995","1.0000","1.0001","0.9991","297.48M","-0.05%"
"04/23/2024","1.0000","1.0004","1.0006","1.0000","278.25M","-0.04%"
"04/22/2024","1.0004","1.0002","1.0007","1.0000","332.26M","0.02%"
"04/21/2024","1.0002","1.0003","1.0004","1.0000","141.31M","-0.02%"
"04/20/2024","1.0003","1.0004","1.0005","1.0002","195.22M","-0.01%"
"04/19/2024","1.0004","1.0004","1.0008","1.0000","424.04M","0.01%"
"04/18/2024","1.0003","0.9999","1.0007","0.9998","415.94M","0.04%"
