"Date","Price","Open","High","Low","Vol.","Change %"
"07/17/2020","41.89","42.09","42.13","41.89","201.90K","-0.48%"
"07/16/2020","42.09","43.35","43.37","41.70","389.79K","-2.84%"
"07/15/2020","43.32","43.87","43.87","43.20","216.88K","-1.23%"
"07/14/2020","43.86","43.88","43.99","43.32","246.96K","-0.14%"
"07/13/2020","43.92","44.78","45.40","43.89","445.13K","-1.83%"
"07/12/2020","44.74","44.71","44.99","44.17","245.53K","0.11%"
"07/11/2020","44.69","44.32","44.69","44.06","186.31K","0.93%"
"07/10/2020","44.28","44.33","44.53","43.82","256.74K","-0.11%"
"07/09/2020","44.33","45.39","45.70","43.88","413.27K","-2.16%"
"07/08/2020","45.31","43.42","45.34","43.28","537.29K","4.42%"
"07/07/2020","43.39","44.02","44.02","43.16","307.77K","-1.48%"
"07/06/2020","44.04","41.65","44.04","41.65","369.49K","5.74%"
"07/05/2020","41.65","42.10","42.19","41.09","234.02K","-1.09%"
"07/04/2020","42.11","41.12","42.18","41.08","239.31K","2.31%"
